"","activity_type","date","favorite","distance","calories","time","avg_hr","max_hr","aerobic_te","avg_run_cadence","max_run_cadence","avg_pace","best_pace","total_ascent","total_descent","avg_stride_length","avg_vertical_ratio","avg_vertical_oscillation","avg_ground_contact_time","avg_gct_balance","training_stress_score","avg_power","max_power","grit","flow","total_strokes","avg_swolf","avg_stroke_rate","total_reps","total_sets","dive_time","min_temp","surface_interval","decompression","best_lap_time","number_of_laps","max_temp","moving_time","elapsed_time","min_elevation","max_elevation"
"77","Treadmill Running","2022-09-07 07:04:54","false","3.00","299","00:34:33",142,160,"2.8","163","175","11:31","7:41","--","--",0.84,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",77,"0:00","No","00:10:45",3,82.4,"00:34:31","00:34:33","--","--"
"78","Treadmill Running","2022-09-05 08:39:36","false","3.00","255","00:34:41",131,152,"2.2","165","178","11:34","8:07","--","--",0.82,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",75.2,"0:00","No","00:10:16",3,84.2,"00:34:32","00:34:41","--","--"
"79","Indoor Cycling","2022-09-04 10:06:21","false","8.00","279","00:57:51",113,133,"1.0","--","--","8.3","--","--","--",0,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",75.2,"0:00","No","00:57:51",1,80.6,"00:00:00","00:57:51","--","--"
"80","Treadmill Running","2022-09-03 07:46:33","false","6.01","431","01:14:15",125,138,"1.1","162","168","12:21","11:33","--","--",0.83,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",75.2,"0:00","No","00:01:49.1",7,82.4,"01:14:04","01:14:33","--","--"
"81","Treadmill Running","2022-09-02 06:18:39","false","4.00","308","00:47:47",127,137,"1.5","163","170","11:56","11:27","--","--",0.83,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",75.2,"0:00","No","00:00:02.5",5,80.6,"00:47:39","00:50:08","--","--"
"82","Treadmill Running","2022-08-31 07:11:33","false","3.00","232","00:36:01",125,131,"1.3","162","168","12:00","11:41","--","--",0.82,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",75.2,"0:00","No","00:11:54",3,82.4,"00:36:01","00:36:01","--","--"
"83","Running","2022-08-29 07:16:44","false","3.00","305","00:37:39",137,148,"2.4","155","216","12:32","10:09","59","66",0.83,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",84.2,"0:00","No","00:00:01.5",4,93.2,"00:37:36","00:37:39","1,981","2,024"
"84","Indoor Cycling","2022-08-28 10:04:59","false","8.00","287","00:55:22",116,183,"1.4","--","--","8.7","--","--","--",0,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",82.4,"0:00","No","00:55:22",1,87.8,"00:00:00","00:55:22","--","--"
"85","Treadmill Running","2022-08-27 07:00:17","false","5.01","362","00:58:32",126,136,"1.2","160","171","11:41","10:16","--","--",0.82,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",73.4,"0:00","No","00:08:14.1",5,82.4,"00:58:25","00:58:32","--","--"
"86","Treadmill Running","2022-08-26 07:00:08","false","3.01","255","00:32:19",135,157,"2.4","165","173","10:44","8:07","--","--",0.94,0,0,0,"--",0,0,0,0,0,"--",0,0,0,"--","0:00",75.2,"0:00","No","00:01:01.7",4,80.6,"00:32:19","00:32:19","--","--"
